Unique_ID,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Metabolism_W,Temperature_C,Q10,Trophic,Group,Family,Genus,Reference,Note_mass,Note_metabolism,Note_name
1,1,2,Mammal,Afrosoricida,Amblysomus hottentotus,70,0.472222222,,2.81,Carnivore,Eutherian,Chrysochloridae,Amblysomus,Kuyper (1979),,,
2,1,2,Mammal,Afrosoricida,Chrysochloris asiatica,34,0.227777778,,2.81,Carnivore,Eutherian,Chrysochloridae,Chrysochloris,Withers (1978),,,
3,1,2,Mammal,Afrosoricida,Echinops telfairi,116.4,0.75,34.85,2.81,Carnivore,Eutherian,Tenrecidae,Echinops,AnAge Data; HAGRID: 1542; Refs: 3;614;843;445;554;260;000;000;000;000;000;000;000,,captivity; medium sample size; acceptable quality,Lesser hedgehog tenrec
4,1,2,Mammal,Afrosoricida,Eremitalpa granti,26.1,0.086111111,34.7,2.81,Carnivore,Eutherian,Chrysochloridae,Eremitalpa,Fielden et al. (1990),,,
5,1,2,Mammal,Afrosoricida,Geogale aurita,6.9,0.044444444,30.8,2.81,Carnivore,Eutherian,Tenrecidae,Geogale,Stephenson and Racey (1993a),,,
6,1,2,Mammal,Afrosoricida,Geogale aurita,6.9,0.043,30.95,2.81,Carnivore,Eutherian,Geogale,Tenrecidae,AnAge Data; HAGRID: 1543; Refs: 36;420;434;613;678,,unknown; small sample size; low quality,Large-eared tenrec
7,1,2,Mammal,Afrosoricida,Hemicentetes nigriceps,101.9,0.405555556,,2.81,Carnivore,Eutherian,Tenrecidae,Hemicentetes,Stephenson and Racey (1994),,,
8,1,2,Mammal,Afrosoricida,Hemicentetes semispinosus,133,0.358333333,,2.81,Carnivore,Eutherian,Tenrecidae,Hemicentetes,Stephenson and Racey (1994),,,
9,1,2,Mammal,Afrosoricida,Hemicentetes semispinosus,116.4,0.38,35.15,2.81,Carnivore,Eutherian,Hemicentetes,Tenrecidae,AnAge Data; HAGRID: 1544; Refs: 36;420;434;436;455;500;000;000;000;000,,captivity; small sample size; questionable quality,Streaked tenrec
10,1,2,Mammal,Afrosoricida,Limnogale mergulus,77.7,0.402777778,32.5,2.81,Carnivore,Eutherian,Tenrecidae,Limnogale,Stephenson (1994a),,,
11,1,2,Mammal,Afrosoricida,Microgale cowani,10.3,0.15,33,2.81,Carnivore,Eutherian,Tenrecidae,Microgale,Stephenson and Racey (1993b),,,
